,Age,Gender,Ethnicity,Marital_Status,Education_Completed,Religion,Full_Time_Employment,Part_Time_Employment,Self_Employed_Part_Time,Self_Employed_Full_Time,Student,Homemaker,Disabled,Retired,Occupation,Income,US_Born,Primary_Language,English_Speaking,English_Difficulties,Familiarity_with_America,Familiarity_with_Ethnic_Origin,Discrimination,Health,Mental_Health,Hypertension,Health_Insurance,Medical_Transport,Sat_with_Housing,Housing,Com_Shares_Values,Close_knit_Com,Religious_Importance,Togetherness,Successful_Family,See_Friends,See_Family,Helpful_Family,Helpful_Friends,Disappointment,Sat_with_Life,Quality_of_Life,Social_Networks,Native_Language,Duration,Employment_Status,State,Education,clean_Income,Race
19,46,Male,Vietnamese,Married,No schooling completed,Buddhist,0,0,0,0,0,0,0,0,Semi-skilled,"$20,000 - $29,999",No,0,Not well,Not much,High,Very high,0,Good,Very Good,Yes,Yes,0,Pretty much,One-family house,NA,NA,NA,NA,NA,1,3,3,2,0,NA,7,No,Viet,21,Unemployed,TX,Less than HS,"less than $50,000",ASIAN AMERICAN
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed,TX,NA,NA,ASIAN AMERICAN
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed,TX,NA,NA,ASIAN AMERICAN
22,27,Female,Chinese,Married,Graduate or Professional degree ,Protestant,Employed full time,0,0,0,0,0,0,0,Professional,"$50,000 - $59,999",Yes,0,Very well,Very much,Very high,Very high,0,Excellent,Excellent,0,Yes,0,Very much,Apartment/ Townhouse/ Condominium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,English,27,Working full-time,TX,College or Higher,"less than $70,000",ASIAN AMERICAN
23,72,Female,Chinese,Married,High school degree / GED,None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Very much,Very low,High,NA,Fair,Fair,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese Simplified,0.5,Retired,TX,HS Graduate,NA,ASIAN AMERICAN
24,23,Male,Chinese,Living with a partner,No schooling completed,Other,Employed full time,0,0,0,0,0,0,0,Business owner,"$60,000 - $69,999",Yes,1,Well,Much,High,Low,NA,Poor,Good,Yes,Yes,Yes,Pretty much,NA,Strongly disagree,Strongly disagree,NA,Somewhat disagree,Somewhat agree,5,3,2,5,Yes,Slightly disagree,5,No,English,23,Working full-time,TX,Less than HS,"less than $70,000",ASIAN AMERICAN
25,36,Male,Chinese,Married,"Some college, but no degree",Catholic,Employed full time,0,0,0,0,0,0,0,"Manager, executive, or official","$0 - $9,999",No,1,Well,Not much,High,Low,0,Very Good,Very Good,0,Yes,0,NA,Apartment/ Townhouse/ Condominium,Disagree,Disagree,NA,Somewhat disagree,Somewhat disagree,0,4,1,1,0,Agree,NA,No,English,15,Working full-time,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
26,68,Female,Chinese,Married,"Some college, but no degree",None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Not at all,Low,Very low,0,Fair,Very Good,Yes,Yes,Yes,Very much,5,Neutral,Disagree,Not very important,Strongly agree,Strongly agree,4,3,3,3,0,Neither agree or disagree,6,Yes,Chinese Traditional,NA,Retired,TX,College or Higher,NA,ASIAN AMERICAN
27,49,Female,Chinese,Married,College degree or Bachelor's degree,None,Employed full time,0,0,0,0,0,0,0,Business owner,"$40,000 - $49,999",No,1,Not well,Much,High,High,NA,Good,Good,0,Yes,0,Pretty much,Mobile house,Neutral,Neutral,Not at all important,Somewhat agree,Somewhat agree,0,0,0,0,0,Disagree,5,No,Chinese Traditional,4,Working full-time,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
28,75,NA,Chinese,Married,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,Retired,NA,"$0 - $9,999",No,1,Not at all,Very much,Very low,High,0,Fair,Fair,Yes,Yes,Yes,Pretty much,One-family house,Neutral,Neutral,Not at all important,Somewhat agree,Somewhat agree,3,3,2,2,NA,Neither agree or disagree,5,No,Chinese Simplified,20,Retired,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
29,76,Male,Chinese,Married,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,Retired,NA,"$10,000 - $19,999",No,1,Not at all,Not much,Low,High,0,Fair,Fair,0,0,0,Pretty much,One-family house,Neutral,Neutral,Not at all important,Strongly agree,Strongly agree,2,1,2,2,0,Neither agree or disagree,5,No,Chinese Traditional,NA,Retired,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
30,69,Male,Chinese,Married,Graduate or Professional degree ,None,0,0,0,0,0,0,0,Retired,NA,"$50,000 - $59,999",No,1,Well,Very much,High,High,1,Good,Very Good,Yes,Yes,0,Very much,One-family house,Disagree,Neutral,Not at all important,Strongly agree,Somewhat agree,1,2,2,1,0,Slightly agree,7,No,Chinese Simplified,30,Retired,TX,College or Higher,"less than $70,000",ASIAN AMERICAN
31,74,Male,Chinese,Married,College degree or Bachelor's degree,NA,0,0,0,0,0,0,0,Retired,"Clerical, office, sales","$70,000 and over",No,1,Not at all,Much,Low,High,0,Fair,Good,0,0,Yes,Pretty much,One-family house,Neutral,Neutral,Not at all important,Strongly agree,Strongly agree,4,3,3,3,0,Slightly agree,6,Yes,Chinese Simplified,0.5,Retired,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
32,19,Female,Chinese,Single,"Some college, but no degree",None,0,0,0,0,Student,0,0,0,NA,"$30,000 - $39,999",No,1,Well,Not at all,High,High,NA,Very Good,Very Good,0,Yes,Yes,Pretty much,Apartment/ Townhouse/ Condominium,Neutral,Neutral,Not very important,Somewhat agree,Somewhat agree,3,2,2,2,0,Slightly disagree,7,No,English,8,Student,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
33,65,Male,Chinese,Married,Graduate or Professional degree ,Protestant,0,0,0,0,0,0,0,Retired,NA,"$70,000 and over",No,1,Well,Not at all,High,High,0,Very Good,Very Good,0,Yes,0,Pretty much,One-family house,NA,NA,Not very important,NA,NA,1,1,1,1,NA,Slightly agree,8,No,Chinese Traditional,35,Retired,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
34,55,Female,Chinese,Married,High school degree / GED,None,Employed full time,0,0,0,0,0,0,0,Service worker,"$30,000 - $39,999",No,1,Well,Not at all,High,High,1,Fair,Good,Yes,Yes,Yes,Pretty much,One-family house,Neutral,Neutral,Not very important,Somewhat agree,Somewhat agree,1,1,2,1,0,Neither agree or disagree,5,No,Chinese Traditional,30,Working full-time,TX,HS Graduate,"less than $50,000",ASIAN AMERICAN
35,69,Female,Chinese,Married,High school degree / GED,None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,NA,NA,Low,0,Fair,Fair,Yes,0,Yes,Pretty much,One-family house,Agree,Agree,Not at all important,Strongly agree,Strongly agree,0,NA,3,3,0,Neither agree or disagree,5,No,Chinese Simplified,0.5,Retired,TX,HS Graduate,NA,ASIAN AMERICAN
36,67,Female,Chinese,Married,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,Retired,NA,"$0 - $9,999",No,1,Not at all,Not much,Low,High,0,Fair,Fair,0,0,Yes,Pretty much,One-family house,Agree,Neutral,Not very important,Strongly agree,Somewhat agree,3,3,3,3,Yes,Neither agree or disagree,5,Yes,Chinese Simplified,3,Retired,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
37,55,Female,Chinese,Married,High school degree / GED,Protestant,Employed full time,0,0,0,0,0,0,0,Business owner,"$40,000 - $49,999",No,1,Not well,Not at all,High,High,1,Very Good,Excellent,0,Yes,Yes,Pretty much,One-family house,Neutral,Neutral,Somewhat important,Somewhat agree,Somewhat agree,5,4,3,4,0,Neither agree or disagree,7,Yes,Chinese Traditional,25,Working full-time,TX,HS Graduate,"less than $50,000",ASIAN AMERICAN
38,81,Male,Chinese,Married,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not well,Not at all,Low,High,0,Good,Fair,Yes,Yes,Yes,Pretty much,One-family house,Agree,Agree,Not at all important,Strongly agree,Strongly agree,1,2,2,1,Yes,Neither agree or disagree,6,No,Chinese Simplified,12,Retired,TX,College or Higher,NA,ASIAN AMERICAN
39,45,Female,Chinese,Married,Graduate or Professional degree ,None,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Well,Much,High,High,1,Good,Good,0,Yes,Yes,Pretty much,One-family house,Agree,Agree,Not very important,Somewhat agree,Somewhat agree,NA,NA,NA,NA,0,Slightly agree,5,No,Chinese Simplified,19,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
40,78,Male,Chinese,Single,College degree or Bachelor's degree,Catholic,0,0,0,0,0,0,0,Retired,NA,"$60,000 - $69,999",Yes,0,Very well,Not at all,Very high,High,1,Excellent,Very Good,Yes,Yes,0,Pretty much,Apartment/ Townhouse/ Condominium,NA,NA,NA,NA,NA,5,4,3,3,0,Agree,10,No,English,78,Retired,TX,College or Higher,"less than $70,000",ASIAN AMERICAN
41,24,Female,Chinese,Single,Graduate or Professional degree ,None,0,0,0,0,Student,0,0,0,NA,"$30,000 - $39,999",No,1,Not well,Much,High,High,0,Good,Good,0,Yes,0,Pretty much,Apartment/ Townhouse/ Condominium,Neutral,Agree,Not very important,Strongly agree,Somewhat agree,3,3,2,2,0,Slightly agree,7,No,Chinese Simplified,NA,Student,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
42,75,Female,Chinese,Married,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Much,Low,High,NA,Fair,Good,Yes,NA,NA,Pretty much,One-family house,Neutral,Agree,Not very important,Strongly agree,Somewhat agree,3,4,3,4,0,Slightly agree,5,No,Chinese Traditional,NA,Retired,TX,College or Higher,NA,ASIAN AMERICAN
43,69,Female,Chinese,Married,"Some college, but no degree",None,0,0,0,0,0,0,0,Retired,NA,"$10,000 - $19,999",No,1,Not at all,Not much,Low,High,NA,Good,Very Good,0,0,Yes,Very much,Two-family house/ duplex,Neutral,Agree,Not very important,Strongly agree,Somewhat agree,5,4,3,4,0,Agree,6,Yes,Chinese Simplified,0.5,Retired,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
44,61,NA,Chinese,Married,College degree or Bachelor's degree,Other,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Very much,Very low,High,1,Fair,Good,0,0,Yes,Pretty much,One-family house,Neutral,Agree,Not very important,Strongly agree,Somewhat agree,5,3,3,3,0,Slightly agree,6,Yes,Chinese Simplified,1,Retired,TX,College or Higher,NA,ASIAN AMERICAN
45,74,Female,Chinese,Married,Graduate or Professional degree ,None,0,0,0,0,0,Full time homemaker,0,0,NA,"$0 - $9,999",No,1,Not at all,Much,High,High,NA,Fair,Fair,0,0,0,Not very much,One-family house,Neutral,Agree,Somewhat important,Somewhat agree,Somewhat agree,3,5,3,1,0,Slightly agree,4,No,Chinese Traditional,2,Homemaker,TX,Less than HS,"less than $20,000",ASIAN AMERICAN
46,52,Female,Chinese,Married,College degree or Bachelor's degree,None,Employed full time,0,0,0,0,0,0,0,Professional,NA,No,1,Well,Very much,High,Very high,0,Excellent,Excellent,0,Yes,0,Pretty much,One-family house,Agree,Agree,Somewhat important,Somewhat agree,Somewhat agree,2,5,3,1,0,Agree,8,No,Chinese Simplified,15,Working full-time,TX,College or Higher,NA,ASIAN AMERICAN
47,76,Female,Chinese,Married,Graduate or Professional degree ,None,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Very much,Very high,High,0,Fair,Good,Yes,0,Yes,Pretty much,One-family house,Neutral,Agree,Somewhat important,Strongly agree,Strongly agree,2,3,3,2,0,Neither agree or disagree,6,No,Chinese Simplified,4,Retired,TX,Less than HS,NA,ASIAN AMERICAN
48,45,Female,Chinese,Single,College degree or Bachelor's degree,Protestant,Employed full time,0,0,0,0,0,0,0,Service worker,"$0 - $9,999",No,1,Not at all,Very much,Very high,High,0,Excellent,Very Good,0,0,0,Not at all,One-family house,Agree,Agree,Somewhat important,Strongly agree,Strongly agree,1,1,0,0,0,Slightly disagree,1,No,Chinese Traditional,0.5,Working full-time,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
49,66,Male,Chinese,Married,Graduate or Professional degree ,Protestant,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Very well,Very much,Very high,Very high,0,Very Good,Very Good,Yes,Yes,0,Very much,One-family house,Disagree,Agree,Very important,Somewhat agree,Somewhat agree,5,3,3,5,0,Agree,10,No,Chinese Traditional,42,Retired,TX,College or Higher,NA,ASIAN AMERICAN
50,40,Female,Chinese,Married,Graduate or Professional degree ,Protestant,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Well,Not much,High,High,0,Good,Fair,0,Yes,0,Pretty much,One-family house,Agree,Agree,Very important,Somewhat agree,Somewhat agree,3,2,2,3,0,Slightly agree,6,No,Chinese Simplified,13,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
51,57,Male,Chinese,Married,Graduate or Professional degree ,Catholic,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Very well,Very much,Very high,Very high,NA,Excellent,Excellent,0,Yes,0,Very much,One-family house,Agree,Agree,Very important,Strongly agree,Strongly agree,5,3,3,2,0,Strongly agree,10,No,English,29,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
52,65,Female,Vietnamese,Married,No schooling completed,Protestant,Employed full time,0,0,0,0,0,0,0,Semi-skilled,"$20,000 - $29,999",NA,1,Well,Much,High,High,NA,Good,Good,0,Yes,0,Very much,One-family house,Neutral,Neutral,Very important,Somewhat agree,NA,1,3,1,2,0,Slightly agree,9,No,Viet,35,Working full-time,TX,Less than HS,"less than $50,000",ASIAN AMERICAN
53,19,Female,Chinese,Single,"Some college, but no degree",Buddhist,0,0,0,0,Student,0,0,0,NA,"$20,000 - $29,999",No,1,Well,Much,High,Very high,0,Excellent,Excellent,0,0,0,Very much,One-family house,Neutral,Agree,Very important,Strongly agree,Strongly agree,5,5,5,3,0,Neither agree or disagree,8,No,English,7,Student,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
54,36,Male,Chinese,Married,Graduate or Professional degree ,Muslim,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Well,Very much,Low,Very high,0,Very Good,Very Good,0,Yes,0,Not very much,Apartment/ Townhouse/ Condominium,Agree,Agree,Very important,Strongly agree,Somewhat agree,2,3,2,2,0,Agree,7,No,Eng_Chinese only,4,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
55,68,Male,Chinese,Married,Graduate or Professional degree ,Buddhist,0,0,0,0,0,0,0,Retired,Professional,"$50,000 - $59,999",No,0,Very well,Very much,High,Very high,0,Very Good,Very Good,Yes,Yes,0,Very much,One-family house,Agree,Agree,Very important,Strongly agree,Strongly agree,4,5,5,5,0,Agree,8,No,Eng_Chinese only,39,Retired,TX,College or Higher,"less than $70,000",ASIAN AMERICAN
56,76,Female,Chinese,Married,"Some college, but no degree",None,0,0,0,0,0,0,0,Retired,Skilled trades,"$10,000 - $19,999",No,1,Not at all,Very much,Low,High,0,Very Good,Very Good,Yes,0,Yes,Very much,Two-family house/ duplex,Agree,Agree,Very important,Strongly agree,Strongly agree,1,4,3,1,0,Neither agree or disagree,6,No,Chinese Simplified,6,Retired,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
57,75,Female,Chinese,NA,High school degree / GED,Protestant,0,0,0,0,0,0,0,Retired,NA,"$0 - $9,999",No,1,Not at all,Very much,Low,High,0,Fair,Fair,0,Yes,0,Pretty much,Apartment/ Townhouse/ Condominium,Agree,Agree,Very important,Strongly agree,Strongly agree,3,2,2,3,0,Agree,5,No,Chinese Simplified,10,Retired,TX,HS Graduate,"less than $20,000",ASIAN AMERICAN
58,51,Female,Chinese,Married,High school degree / GED,Buddhist,Employed full time,0,0,0,0,0,0,0,Service worker,"$30,000 - $39,999",No,0,Well,Much,Low,Low,0,Excellent,Excellent,0,Yes,0,Pretty much,One-family house,Agree,Agree,Very important,Strongly agree,Strongly agree,2,2,3,3,0,Agree,8,Yes,Viet,22,Working full-time,TX,HS Graduate,"less than $50,000",ASIAN AMERICAN
59,68,Female,Chinese,Married,Graduate or Professional degree ,Buddhist,0,0,0,0,0,0,0,0,NA,NA,No,1,Not at all,Very much,Low,Low,0,Fair,Fair,Yes,Yes,Yes,NA,One-family house,Strongly agree,Strongly agree,Not very important,Strongly agree,Strongly agree,2,3,3,2,Yes,Neither agree or disagree,5,No,Chinese Simplified,5,Unemployed,TX,Less than HS,NA,ASIAN AMERICAN
60,45,Male,Chinese,Married,Graduate or Professional degree ,Buddhist,Employed full time,0,0,0,0,0,0,0,Business owner,"$20,000 - $29,999",No,1,Not at all,Very much,Very low,High,0,Fair,Fair,0,0,NA,Pretty much,Apartment/ Townhouse/ Condominium,Strongly agree,Strongly agree,Not very important,Strongly agree,Strongly agree,2,0,1,3,0,Agree,5,No,Chinese Simplified,2,Working full-time,TX,Less than HS,"less than $50,000",ASIAN AMERICAN
61,58,Female,Chinese,Married,High school degree / GED,NA,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Very much,Low,High,0,Very Good,Very Good,0,0,Yes,Pretty much,Apartment/ Townhouse/ Condominium,Agree,Strongly agree,Not very important,Strongly agree,Strongly agree,3,4,5,4,0,Neither agree or disagree,5,No,Chinese Simplified,0.5,Retired,TX,HS Graduate,NA,ASIAN AMERICAN
62,41,Male,Chinese,Married,Graduate or Professional degree ,None,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Well,Not much,High,High,0,Fair,Excellent,Yes,Yes,0,Pretty much,One-family house,Strongly agree,Strongly agree,Not very important,Strongly agree,Strongly agree,5,2,0,5,0,Agree,7,Yes,Chinese Simplified,17,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
63,86,Male,Chinese,Married,"Some college, but no degree",Protestant,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not at all,Not much,Low,High,0,Fair,Good,Yes,Yes,Yes,Pretty much,Apartment/ Townhouse/ Condominium,Strongly agree,Strongly agree,Not very important,Strongly agree,Strongly agree,3,4,2,2,0,Strongly agree,6,No,Chinese Simplified,15,Retired,TX,College or Higher,NA,ASIAN AMERICAN
64,25,Female,Chinese,Single,College degree or Bachelor's degree,None,0,0,0,0,0,0,0,0,NA,"$0 - $9,999",No,1,Not at all,Not much,Low,Low,1,Very Good,Very Good,0,0,0,Pretty much,Apartment/ Townhouse/ Condominium,Strongly disagree,Strongly disagree,Not at all important,Somewhat agree,Strongly agree,5,3,3,4,0,Neither agree or disagree,5,Yes,Chinese Traditional,1,Unemployed,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
65,49,Male,Chinese,Married,Graduate or Professional degree ,None,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Well,Very much,Low,High,0,Excellent,Excellent,0,Yes,0,Very much,One-family house,Neutral,Strongly disagree,Not at all important,Strongly agree,Strongly agree,2,5,2,2,0,Agree,10,No,English,16,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
66,19,Female,Chinese,Single,College degree or Bachelor's degree,None,0,0,0,0,Student,0,0,0,Professional,"$20,000 - $29,999",No,1,Not well,Not much,High,Very high,1,Excellent,Excellent,0,0,Yes,Pretty much,Apartment/ Townhouse/ Condominium,Disagree,Disagree,Not at all important,Somewhat agree,Somewhat agree,3,3,4,3,0,Slightly agree,7,Yes,Chinese Simplified,0.5,Student,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
