,Ethnicity,State,Education,Gender,Education_Completed,US_Born,Race,US_Born_Father,Birth_Country,Citizenship,Career_Success,Religion_Importance,Help_Other,Race_Id,American_Id,Leader_Qual,Info_Source,Registered_Vote,Not_Registered,Voter_NotElig,Chance_Vote,Candidate,Candidate_Strength,Candidate_Voted,Party_Voting,Repub_Impres,Dem_Impres,Trump_Impres,Clinton_Impres,Politic_Disc,Politic_Donate,Contact_Rep,Protest_Rally,Public_Meet,Value_Similarity,Religion,Topic_Important,Ban_Muslim,Syrian_Refugee,Marital_Status,Partner_Race,Employment_Status,Income.x,Birth_Yr,English_Read,Age,TrumpImpres,clean_Income,Full_Time_Employment,Part_Time_Employment,Self_Employed_Part_Time,Self_Employed_Full_Time,Student,Homemaker,Disabled,Retired,Occupation,Income.y,Primary_Language,English_Speaking,English_Difficulties,Familiarity_with_America,Familiarity_with_Ethnic_Origin,Discrimination,Health,Mental_Health,Hypertension,Health_Insurance,Medical_Transport,Sat_with_Housing,Housing,Com_Shares_Values,Close_knit_Com,Religious_Importance,Togetherness,Successful_Family,See_Friends,See_Family,Helpful_Family,Helpful_Friends,Disappointment,Sat_with_Life,Quality_of_Life,Social_Networks,Native_Language,Duration
11,Cambodian,CA,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,NA,Registered,NA,Elig,I am absolutely certain I will vote,Clinton, SUPPORT STRONGLY,NA,Republican,Very unfavorable,Very favorable, Very unfavorable,Very favorable,No,No,Yes,No,No,NA,Buddhist,Economy/Jobs,Support,Oppose,Married,Asian or Asian American,Working full-time,"Up to $20,000",1953,Just a little,63,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Cambodian,CA,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Burma / Myanmar,Not a citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,DO NOT READ  Both equally,NA,NA,Nonelig,NA,NA,NA,NA,NA,Somewhat favorable,Somewhat favorable, Somewhat favorable,Very favorable,Yes,Yes,No,No,No,NA,Buddhist,Economy/Jobs,Support,Oppose,Married,Asian or Asian American,Homemaker,"Up to $20,000",1961,Not at all,55,Somewhat favorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Cambodian,CA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,Very Important,Very Important,Very Important,Very Important,Extremely Important,A good leader should have significant work experience,DO NOT READ  Both equally,Registered,NA,Elig,I am absolutely certain I will vote,Clinton, SUPPORT STRONGLY,NA,Some other party,Somewhat favorable,Somewhat unfavorable, Very unfavorable,Very favorable,No,No,Yes,No,No,NA,Buddhist,Terrorism/ISIS/National security,Oppose,Support,Married,White,Retired,"Up to $20,000",1965,Not at all,51,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Cambodian,CA,College or Higher,Male,College degree or Bachelor's degree,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,Registered,NA,Elig,I will not vote this year,SOME OTHER CANDIDATE,NA,NA,Republican,Very favorable,Somewhat unfavorable, Somewhat unfavorable,Very unfavorable,No,No,No,No,No,NA,Buddhist,Education,Oppose,Oppose,Single,NA,Permanently disabled,"Up to $20,000",1949,NA,67,Somewhat unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Cambodian,CA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Not a citizen,Very Important,Very Important,Very Important,Very Important,Very Important,A good leader should have a degree from a top-university ...,Mainstream American more,NA,NA,Nonelig,NA,NA,NA,NA,NA,Somewhat unfavorable,Very favorable, Somewhat unfavorable,Very favorable,No,No,No,No,No,NA,Buddhist,Education,Oppose,Oppose,Single,NA,Working part-time,"Up to $20,000",1966,NA,50,Somewhat unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Cambodian,CA,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,DO NOT READ  Both equally,Registered,NA,Elig,My chances of voting are less than -,Clinton, SUPPORT STRONGLY,Other candidate,Republican,Very favorable,Somewhat unfavorable, Somewhat unfavorable,Very favorable,No,No,No,No,Yes,NA,Buddhist,Economy/Jobs,Support,Oppose,Other,NA,Homemaker,"Up to $20,000",1945,Just a little,71,Somewhat unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Cambodian,CA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,NA,Registered,NA,Elig,I am absolutely certain I will vote,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,No,No,No,No,No,NA,Christian,Economy/Jobs,Support,Support,Single,NA,Permanently disabled,"Up to $20,000",1930,Not at all,86,No opinion,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Cambodian,CA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,Registered,NA,Elig,I am absolutely certain I will vote,Clinton, SUPPORT STRONGLY,NA,Republican,Very favorable,Very unfavorable, Very unfavorable,Very favorable,No,No,No,No,Yes,NA,Buddhist,NA,Oppose,Support,Married,White,Retired,"Up to $20,000",1946,Just a little,70,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Cambodian,WA,HS Graduate,Male,High school degree / GED,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Not at all Important,Not at all Important,Extremely Important,Extremely Important,A good leader should have significant work experience,RETHNIC: or Asian American more,Registered,NA,Elig,My chances of voting are less than -,Clinton, NOT SO STRONGLY,NA,Democrat,Somewhat unfavorable,Somewhat favorable, Very unfavorable,Very favorable,Yes,No,No,No,No,NA,Buddhist,NA,Oppose,Oppose,Single,NA,Working full-time,"Up to $20,000",1971,NA,45,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cambodian,CA,College or Higher,Female,College degree or Bachelor's degree,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,Mainstream American more,Registered,NA,Elig,I am absolutely certain I will vote,Trump,NA,NA,Republican,Somewhat unfavorable,Very unfavorable, Very favorable,Very unfavorable,No,No,No,No,No,NA,Buddhist,Health care,Oppose,Oppose,Married,Asian or Asian American,Working full-time,NA,1971,NA,45,Very favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Cambodian,WA,College or Higher,Female,"Some college, but no degree",No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Somewhat Important,Extremely Important,Very Important,Extremely Important,A good leader should have significant work experience,Mainstream American more,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,Yes,No,No,No,No,NA,None,Economy/Jobs,NA,NA,Married,Asian or Asian American,Working full-time,"$20,000 to $50,000",1983,NA,33,No opinion,"less than $50,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Cambodian,PA,HS Graduate,Male,High school degree / GED,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,Somewhat unfavorable,Somewhat unfavorable, Very unfavorable,Somewhat unfavorable,No,No,No,No,No,NA,Buddhist,NA,Support,Oppose,Married,Asian or Asian American,Working part-time,"Up to $20,000",1957,NA,59,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Cambodian,VA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,Never heard,Never heard, Never heard,Never heard,No,No,No,No,No,NA,Buddhist,NA,Support,Oppose,Married,Asian or Asian American,Unemployed,"Up to $20,000",1957,NA,59,Never heard,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Cambodian,WA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,Clinton, NOT SO STRONGLY,NA,Democrat,Somewhat unfavorable,Very favorable, Very unfavorable,Very favorable,No,No,No,No,No,NA,Buddhist,NA,Oppose,Oppose,Married,Asian or Asian American,Working full-time,"Up to $20,000",1949,NA,67,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Cambodian,MA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,Democrat,Somewhat unfavorable,Somewhat favorable, Somewhat unfavorable,Somewhat favorable,No,No,No,No,No,NA,Buddhist,NA,NA,NA,Married,Asian or Asian American,Working full-time,"$50,000 to $75,000",1957,NA,59,Somewhat unfavorable,"less than $70,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Cambodian,WA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,NA,Not Registered,Elig,My chances of voting are -,NA,NA,NA,Republican,Somewhat unfavorable,Somewhat unfavorable, Somewhat unfavorable,Somewhat unfavorable,No,No,No,No,No,NA,Buddhist,NA,Support,Support,Married,Asian or Asian American,Retired,"$50,000 to $75,000",1942,NA,74,Somewhat unfavorable,"less than $70,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Cambodian,MA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,Democrat,Somewhat favorable,Somewhat favorable, Somewhat favorable,Somewhat favorable,No,No,No,No,No,NA,Buddhist,NA,NA,NA,Married,Asian or Asian American,Working full-time,"$20,000 to $50,000",1960,NA,56,Somewhat favorable,"less than $50,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Cambodian,MA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,Registered,NA,Elig,I am absolutely certain I will vote,NA,NA,NA,Democrat,Somewhat favorable,Somewhat favorable, Somewhat unfavorable,Somewhat favorable,Yes,No,No,No,No,NA,Buddhist,Health care,Support,Oppose,Married,Asian or Asian American,Retired,"$50,000 to $75,000",1938,NA,78,Somewhat unfavorable,"less than $70,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Cambodian,VA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,Clinton, NOT SO STRONGLY,NA,Democrat,Somewhat unfavorable,Somewhat unfavorable, Somewhat unfavorable,Somewhat unfavorable,Yes,No,No,No,No,NA,Buddhist,Health care,Support,Oppose,Married,Asian or Asian American,Unemployed,"$75,000 to $100,000",1953,NA,63,Somewhat unfavorable,"less than $100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Cambodian,WA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,Trump,NA,NA,Republican,Somewhat favorable,Somewhat unfavorable, Somewhat favorable,Somewhat favorable,No,No,No,No,No,NA,Buddhist,Education,Support,Oppose,Married,Asian or Asian American,Working part-time,"$75,000 to $100,000",1953,NA,63,Somewhat favorable,"less than $100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Cambodian,MN,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Very Important,Somewhat Important,Very Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,Registered,NA,Elig,I am pretty likely to vote,Clinton, NOT SO STRONGLY,NA,Democrat,Somewhat unfavorable,Somewhat unfavorable, Somewhat unfavorable,Somewhat unfavorable,No,No,No,No,No,NA,Buddhist,Economy/Jobs,Support,Oppose,Married,Asian or Asian American,Unemployed,"Up to $20,000",1951,NA,65,Somewhat unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Cambodian,CA,Less than HS,Male,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,Registered,NA,Elig,I am absolutely certain I will vote,Trump,NA,NA,Republican,Very favorable,Somewhat favorable, Very favorable,Somewhat favorable,Yes,No,No,No,No,NA,Buddhist,Health care,Support,Oppose,Married,Asian or Asian American,Unemployed,"$75,000 to $100,000",1941,NA,75,Very favorable,"less than $100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Chinese,TX,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Thailand / Siam,Citizen,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,A good leader should have a degree from a top-university ...,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,Trump,NA,NA,Some other party,Somewhat unfavorable,Somewhat unfavorable, Somewhat unfavorable,Somewhat unfavorable,No,No,No,No,No,NA,Buddhist,Education,Support,Oppose,Single,NA,Student,"Up to $20,000",1992,NA,24,Somewhat unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Cambodian,MN,College or Higher,Male,"Some college, but no degree",No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,Registered,NA,Elig,I am absolutely certain I will vote,Clinton, NOT SO STRONGLY,Other candidate,Democrat,Very unfavorable,Somewhat favorable, Very unfavorable,Very favorable,Yes,Yes,Yes,Yes,Yes,Very Important,Buddhist,Government/Broken political system,Support,Support,Single,NA,Working full-time,"$20,000 to $50,000",1977,NA,39,Very unfavorable,"less than $50,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
